row_type,dataset,network_seed,pair_index,item_1,item_2,learned,mean_accuracy,beta_alpha,beta_beta,beta_class,subject_id,pair,pair_accuracy,threshold_percent,proportion,lower,upper,analysis_subjects
pair,2104,2104,25,F,G,false,0.683116883117,0.295010061534,0.183545796832,bimodal,,,,,,,,
pair,2104,2104,26,F,H,false,0.737662337662,0.296404250953,0.172644879395,bimodal,,,,,,,,
pair,2104,2104,27,G,H,false,0.616883116883,0.268567520338,0.195038624167,bimodal,,,,,,,,
pair,2105,2105,0,A,B,false,0.698701298701,0.295925366498,0.179479434934,bimodal,,,,,,,,
pair,2105,2105,1,A,C,false,0.818181818182,0.363083708587,0.151977406415,bimodal,,,,,,,,
pair,2105,2105,2,A,D,false,0.836363636364,0.447138018103,0.158302386357,bimodal,,,,,,,,
pair,2105,2105,3,A,E,false,0.868831168831,0.458261799634,0.146458386719,bimodal,,,,,,,,
pair,2105,2105,4,A,F,true,0.950649350649,1.43707837794,0.175671400481,high_accuracy,,,,,,,,
pair,2105,2105,5,A,G,false,0.977922077922,8.52730007282,0.243567337201,high_accuracy,,,,,,,,
pair,2105,2105,6,A,H,true,0.994805194805,59.7044429306,0.399134994601,high_accuracy,,,,,,,,
pair,2105,2105,7,B,C,true,0.818181818182,1.37370004082,0.282915684771,high_accuracy,,,,,,,,
pair,2105,2105,8,B,D,false,0.732467532468,0.357575379608,0.181707124149,bimodal,,,,,,,,
pair,2105,2105,9,B,E,true,0.925974025974,1.24036373821,0.180709642549,high_accuracy,,,,,,,,
pair,2105,2105,10,B,F,false,0.923376623377,1.16280801337,0.172673568234,high_accuracy,,,,,,,,
pair,2105,2105,11,B,G,false,0.985714285714,11.7418997684,0.2496757009,high_accuracy,,,,,,,,
pair,2105,2105,12,B,H,false,0.981818181818,5.72460428703,0.21527325271,high_accuracy,,,,,,,,
pair,2105,2105,13,C,D,false,0.577922077922,0.279066160151,0.217519929745,bimodal,,,,,,,,
pair,2105,2105,14,C,E,false,0.768831168831,0.411201806003,0.183648514987,bimodal,,,,,,,,
pair,2105,2105,15,C,F,false,0.835064935065,0.607157425935,0.178244311899,bimodal,,,,,,,,
pair,2105,2105,16,C,G,true,0.968831168831,4.72050809421,0.216864336937,high_accuracy,,,,,,,,
pair,2105,2105,17,C,H,false,0.964935064935,4.85701937512,0.227193583576,high_accuracy,,,,,,,,
pair,2105,2105,18,D,E,false,0.680519480519,0.298997953019,0.180761938095,bimodal,,,,,,,,
pair,2105,2105,19,D,F,true,0.906493506494,1.11737467642,0.182407114387,high_accuracy,,,,,,,,
pair,2105,2105,20,D,G,true,0.961038961039,3.40354547525,0.207990942804,high_accuracy,,,,,,,,
pair,2105,2105,21,D,H,false,0.925974025974,0.763970747196,0.156875376316,bimodal,,,,,,,,
pair,2105,2105,22,E,F,false,0.619480519481,0.241839212118,0.179812495905,bimodal,,,,,,,,
pair,2105,2105,23,E,G,false,0.854545454545,0.61152780011,0.182520589112,bimodal,,,,,,,,
pair,2105,2105,24,E,H,true,0.925974025974,1.83843762725,0.197399901146,high_accuracy,,,,,,,,
pair,2105,2105,25,F,G,false,0.675324675325,0.286670132346,0.187261356605,bimodal,,,,,,,,
pair,2105,2105,26,F,H,false,0.718181818182,0.309372597332,0.174975611305,bimodal,,,,,,,,
pair,2105,2105,27,G,H,false,0.661038961039,0.30249670257,0.189751280187,bimodal,,,,,,,,
figure_2b_subject,human,,,,,,,,,,1,C-D,1,,,,,
figure_2b_subject,human,,,,,,,,,,2,C-D,0.8,,,,,
figure_2b_subject,human,,,,,,,,,,3,C-D,0.8,,,,,
figure_2b_subject,human,,,,,,,,,,4,C-D,1,,,,,
figure_2b_subject,human,,,,,,,,,,5,C-D,1,,,,,
figure_2b_subject,human,,,,,,,,,,6,C-D,0,,,,,
figure_2b_subject,human,,,,,,,,,,7,C-D,0.5,,,,,
figure_2b_subject,human,,,,,,,,,,8,C-D,0,,,,,
figure_2b_subject,human,,,,,,,,,,9,C-D,0.6,,,,,
figure_2b_subject,human,,,,,,,,,,10,C-D,1,,,,,
figure_2b_subject,human,,,,,,,,,,11,C-D,0.3,,,,,
figure_2b_subject,human,,,,,,,,,,12,C-D,0,,,,,
figure_2b_subject,human,,,,,,,,,,13,C-D,0.9,,,,,
figure_2b_subject,human,,,,,,,,,,16,C-D,1,,,,,
figure_2b_subject,human,,,,,,,,,,17,C-D,1,,,,,
figure_2b_subject,human,,,,,,,,,,18,C-D,1,,,,,
figure_2b_subject,human,,,,,,,,,,20,C-D,0.9,,,,,
figure_2b_subject,human,,,,,,,,,,21,C-D,0,,,,,
figure_2b_subject,human,,,,,,,,,,22,C-D,0.9,,,,,
figure_2b_subject,human,,,,,,,,,,23,C-D,0.9,,,,,
figure_2b_subject,human,,,,,,,,,,24,C-D,0.8,,,,,
figure_2b_subject,human,,,,,,,,,,25,C-D,0.9,,,,,
figure_2b_subject,human,,,,,,,,,,26,C-D,1,,,,,
