episode,loss,choice_loss,recon_loss,entropy_loss,test_acc,learned_acc,nonlearned_acc,mean_gate,mean_abs_score
0,0.9316754937171936,0.7297011017799377,0.3977084755897522,0.6216206550598145,0.5267857313156128,0.5,0.5375000238418579,0.46274635195732117,0.2721548080444336
1,0.7938805818557739,0.6809474229812622,0.2194100022315979,0.6440881490707397,0.5803571343421936,0.59375,0.574999988079071,0.4644010663032532,0.21469838917255402
2,1.0104749202728271,0.812079131603241,0.39038586616516113,0.6389175653457642,0.4107142984867096,0.46875,0.38749998807907104,0.45312365889549255,0.24088361859321594
3,0.8424293398857117,0.7295172810554504,0.21922744810581207,0.6586523056030273,0.4910714328289032,0.5625,0.4625000059604645,0.4553568363189697,0.18864810466766357
4,0.8597621917724609,0.7211689352989197,0.2707703709602356,0.6399544477462769,0.5803571343421936,0.71875,0.5249999761581421,0.4602448344230652,0.22299200296401978
5,0.8132638931274414,0.6754366159439087,0.26919394731521606,0.6445223689079285,0.5892857313156128,0.5625,0.6000000238418579,0.4645848572254181,0.20976239442825317
6,0.860063374042511,0.7262765169143677,0.26107606291770935,0.6483345627784729,0.5,0.5625,0.4749999940395355,0.45494139194488525,0.2073238044977188
7,0.8820618391036987,0.7630369067192078,0.23146280646324158,0.6576465368270874,0.4553571343421936,0.5,0.4375,0.47301197052001953,0.17915570735931396
8,0.807604193687439,0.71720951795578,0.17423652112483978,0.6541029214859009,0.5714285969734192,0.65625,0.5375000238418579,0.4622955918312073,0.196689635515213
9,0.9355281591415405,0.7953305244445801,0.2740805447101593,0.6294408440589905,0.4821428656578064,0.5625,0.44999998807907104,0.4556850790977478,0.2694345712661743
10,0.8627861142158508,0.7317008972167969,0.25562289357185364,0.6535438299179077,0.4553571343421936,0.46875,0.44999998807907104,0.4606880843639374,0.19620980322360992
11,0.9462414383888245,0.7636632323265076,0.3587358295917511,0.6403874158859253,0.4910714328289032,0.46875,0.5,0.4428291320800781,0.2258928269147873
12,0.7501170039176941,0.637529194355011,0.21894186735153198,0.6210171580314636,0.6607142686843872,0.75,0.625,0.46421629190444946,0.2904703915119171
13,0.8315956592559814,0.7204299569129944,0.21585290133953094,0.6463795900344849,0.4910714328289032,0.59375,0.44999998807907104,0.46656808257102966,0.2092980295419693
14,0.849496603012085,0.732624351978302,0.22734807431697845,0.6379274725914001,0.5,0.625,0.44999998807907104,0.4682849943637848,0.23250766098499298
15,0.8824283480644226,0.7489287257194519,0.2604266107082367,0.6561323404312134,0.4642857015132904,0.40625,0.48750001192092896,0.4637852609157562,0.18323814868927002
16,0.9488321542739868,0.8234220147132874,0.24449454247951508,0.6304993033409119,0.4642857015132904,0.53125,0.4375,0.46204036474227905,0.25135135650634766
17,0.8785926103591919,0.7342717051506042,0.28213146328926086,0.6497014164924622,0.5267857313156128,0.5625,0.512499988079071,0.46726125478744507,0.2129133641719818
18,0.911474883556366,0.7414401769638062,0.3337981700897217,0.6248170733451843,0.5178571343421936,0.59375,0.48750001192092896,0.4767478406429291,0.2740401029586792
19,0.8306452035903931,0.7103519439697266,0.23394662141799927,0.6631143689155579,0.6160714030265808,0.53125,0.6499999761581421,0.4756488800048828,0.16621382534503937
