episode,loss,choice_loss,recon_loss,entropy_loss,test_acc,learned_acc,nonlearned_acc,mean_gate,mean_abs_score
0,0.7040307521820068,0.630722165107727,0.13995474576950073,0.6654357314109802,0.625,0.78125,0.5625,0.4576629102230072,0.17124411463737488
1,0.6829689741134644,0.6348442435264587,0.08945280313491821,0.6792619824409485,0.6517857313156128,0.84375,0.574999988079071,0.4686465263366699,0.11438045650720596
2,0.6534321308135986,0.6085787415504456,0.08292265981435776,0.6779733896255493,0.7142857313156128,0.90625,0.637499988079071,0.43466508388519287,0.1156373992562294
3,0.707940936088562,0.6431868672370911,0.12272828072309494,0.6775517463684082,0.6875,0.8125,0.637499988079071,0.4764021039009094,0.12434548884630203
4,0.6574177145957947,0.5918952226638794,0.12441044300794601,0.6625638604164124,0.6964285969734192,0.75,0.675000011920929,0.4639696180820465,0.16385456919670105
5,0.6566006541252136,0.6180931329727173,0.07020685076713562,0.68046635389328,0.7589285969734192,0.78125,0.75,0.4672505259513855,0.10655014216899872
6,0.7273555397987366,0.682499349117279,0.08294166624546051,0.6766101717948914,0.6160714030265808,0.65625,0.6000000238418579,0.45948153734207153,0.12643100321292877
7,0.5942264199256897,0.5626394748687744,0.056444235146045685,0.6723604202270508,0.8571428656578064,0.90625,0.8374999761581421,0.45864447951316833,0.14511322975158691
8,0.6883572340011597,0.6378348469734192,0.09428590536117554,0.675388753414154,0.625,0.6875,0.6000000238418579,0.4428635835647583,0.12081032246351242
9,0.6203920245170593,0.5866195559501648,0.0608026348054409,0.6736847758293152,0.75,0.8125,0.7250000238418579,0.47757667303085327,0.137701153755188
10,0.6585196852684021,0.6231389045715332,0.06402333825826645,0.6732600331306458,0.7142857313156128,0.71875,0.7124999761581421,0.46012821793556213,0.14029280841350555
11,0.7108064293861389,0.6427283883094788,0.12943066656589508,0.6719115376472473,0.6607142686843872,0.78125,0.612500011920929,0.44466036558151245,0.12889258563518524
12,0.6634647846221924,0.6328891515731812,0.05435158312320709,0.6795879006385803,0.6964285969734192,0.84375,0.637499988079071,0.44577789306640625,0.1096038669347763
13,0.6400187015533447,0.5901685357093811,0.09296863526105881,0.6725926995277405,0.7767857313156128,0.84375,0.75,0.449544757604599,0.13053497672080994
14,0.6830096244812012,0.6322900056838989,0.09473598003387451,0.6696619987487793,0.6964285969734192,0.71875,0.6875,0.4921978712081909,0.1607268899679184
15,0.6836152672767639,0.6433275938034058,0.07377312332391739,0.6798551678657532,0.6428571343421936,0.75,0.6000000238418579,0.46009618043899536,0.10307027399539948
16,0.6524860262870789,0.5887941122055054,0.12067513912916183,0.6702314615249634,0.75,0.875,0.699999988079071,0.4761181175708771,0.15070252120494843
17,0.681005597114563,0.6431646943092346,0.06890276074409485,0.6774672269821167,0.6339285969734192,0.8125,0.5625,0.4704110622406006,0.11801156401634216
18,0.647203266620636,0.5986213684082031,0.09045067429542542,0.6706877946853638,0.7767857313156128,0.875,0.737500011920929,0.47706061601638794,0.1441887617111206
19,0.687267005443573,0.6382251977920532,0.09133480489253998,0.6743538975715637,0.6517857313156128,0.8125,0.5874999761581421,0.4788866341114044,0.13598990440368652
