variant,status,observation_mode,reliability_mode,relation_encoding_mode,rank_readout,ablate_rnn,ablate_plasticity,ablate_subject_latent,ablate_item_vectors,ablate_resource,overall_accuracy,learned_pairs_accuracy,nonlearned_pairs_accuracy,consistent_error_subjects_80pct_ratio,consistent_error_subjects_100pct_ratio,mean_self_consistency_from_majority_choices,mean_circular_triads_from_majority_choices,mean_inter_subject_kendall_tau,correct_ranking_subjects,self_consistent_incorrect_subjects,self_inconsistent_subjects,mean_posterior_entropy,mean_hebb_gate,mean_edge_strength,edge_recon_loss,beta_bimodal_pairs,distance_accuracy,serial_position_accuracy
distance_rnn_300,ok,distance,rnn,rnn,commit,False,False,False,False,False,0.5621985197067261,0.5840908885002136,0.5534415245056152,1.0,1.0,1.0,0.0,0.013719363343423493,0,77,0,10.274115562438965,0.5890659093856812,0.0512789823114872,13.205058097839355,28,"{""1"": 0.5209647417068481, ""2"": 0.5512986779212952, ""3"": 0.5906493067741394, ""4"": 0.5691558718681335, ""5"": 0.5896104574203491, ""6"": 0.581818163394928, ""7"": 0.6246753334999084}","{""1"": 0.5387755036354065, ""2"": 0.5463821887969971, ""3"": 0.5675325393676758, ""4"": 0.567717969417572, ""5"": 0.553246796131134, ""6"": 0.5740259885787964, ""7"": 0.567717969417572, ""8"": 0.5821892023086548}"
distance_no_rnn_300,ok,distance,rnn,rnn,commit,True,False,False,False,False,0.525834858417511,0.5644480586051941,0.5103896260261536,1.0,1.0,1.0,0.0,0.07679914070891515,0,77,0,6.559836387634277,0.0,0.2515978515148163,15.241703987121582,28,"{""1"": 0.5022263526916504, ""2"": 0.5248917937278748, ""3"": 0.5844155550003052, ""4"": 0.5409091114997864, ""5"": 0.5432900190353394, ""6"": 0.5480520129203796, ""7"": 0.2467532455921173}","{""1"": 0.33525046706199646, ""2"": 0.5927643775939941, ""3"": 0.577365517616272, ""4"": 0.5293135046958923, ""5"": 0.5484229922294617, ""6"": 0.5263451337814331, ""7"": 0.5894248485565186, ""8"": 0.5077922344207764}"
distance_no_plasticity_300,ok,distance,rnn,rnn,commit,False,True,False,False,False,0.5546382069587708,0.6042208075523376,0.5348052382469177,1.0,1.0,1.0,0.0,0.030856361683429354,0,77,0,10.026545524597168,0.5684964060783386,0.06967820227146149,13.591449737548828,28,"{""1"": 0.5051948428153992, ""2"": 0.522510826587677, ""3"": 0.6163635849952698, ""4"": 0.5892857313156128, ""5"": 0.5813853144645691, ""6"": 0.5435065031051636, ""7"": 0.5883117318153381}","{""1"": 0.4740259647369385, ""2"": 0.5448979735374451, ""3"": 0.5628942251205444, ""4"": 0.5729127526283264, ""5"": 0.567903459072113, ""6"": 0.5584415793418884, ""7"": 0.569202184677124, ""8"": 0.5868274569511414}"
distance_constant_reliability_300,ok,distance,constant,rnn,commit,False,False,False,False,False,0.6470315456390381,0.8261362910270691,0.5753896236419678,1.0,1.0,1.0,0.0,0.3692510497021776,0,77,0,5.873104095458984,0.5865726470947266,0.5,13.01571273803711,25,"{""1"": 0.5217068791389465, ""2"": 0.5670995712280273, ""3"": 0.7789610028266907, ""4"": 0.6282467246055603, ""5"": 0.8246753215789795, ""6"": 0.7428572177886963, ""7"": 0.6948052048683167}","{""1"": 0.4573283791542053, ""2"": 0.7614099979400635, ""3"": 0.701298713684082, ""4"": 0.6604823470115662, ""5"": 0.6055658459663391, ""6"": 0.7016697525978088, ""7"": 0.6348794102668762, ""8"": 0.653617799282074}"
distance_posterior_mean_300,ok,distance,rnn,rnn,posterior_mean,False,False,False,False,False,0.541465699672699,0.5811688303947449,0.5255844593048096,0.6363636363636364,0.025974025974025976,0.5168831168831167,9.662337662337663,0.013719363343423493,0,0,77,10.274115562438965,0.5890659093856812,0.0512789823114872,13.205058097839355,0,"{""1"": 0.5005565881729126, ""2"": 0.5259740352630615, ""3"": 0.5501298904418945, ""4"": 0.5649350881576538, ""5"": 0.5831169486045837, ""6"": 0.5772727131843567, ""7"": 0.5870130062103271}","{""1"": 0.5226345062255859, ""2"": 0.5630797743797302, ""3"": 0.5387755036354065, ""4"": 0.5285714268684387, ""5"": 0.5239331722259521, ""6"": 0.5456401705741882, ""7"": 0.5614100098609924, ""8"": 0.5476809144020081}"
raw_bars_rnn_100,ok,raw_bars,rnn,rnn,commit,False,False,False,False,False,0.48005566000938416,0.5162337422370911,0.4655844271183014,1.0,1.0,1.0,0.0,0.09398496240601503,0,77,0,7.7074456214904785,0.4411410093307495,0.1748920977115631,14.480048179626465,28,"{""1"": 0.4883117079734802, ""2"": 0.4861471652984619, ""3"": 0.4719480574131012, ""4"": 0.491233766078949, ""5"": 0.4865800738334656, ""6"": 0.4305194914340973, ""7"": 0.4610389173030853}","{""1"": 0.5669758319854736, ""2"": 0.41465675830841064, ""3"": 0.4306122660636902, ""4"": 0.5398886799812317, ""5"": 0.4992578327655792, ""6"": 0.5404452681541443, ""7"": 0.40816327929496765, ""8"": 0.4404452443122864}"
raw_bars_no_rnn_100,ok,raw_bars,rnn,rnn,commit,True,False,False,False,False,0.5165120959281921,0.5980519652366638,0.4838961064815521,1.0,1.0,1.0,0.0,0.10331022361097549,0,77,0,5.753369331359863,0.0,0.29779982566833496,13.566384315490723,28,"{""1"": 0.5074211359024048, ""2"": 0.5272727012634277, ""3"": 0.5145454406738281, ""4"": 0.4931817948818207, ""5"": 0.5367965698242188, ""6"": 0.5077921748161316, ""7"": 0.5753247141838074}","{""1"": 0.638033390045166, ""2"": 0.5018553137779236, ""3"": 0.4521335959434509, ""4"": 0.5693877339363098, ""5"": 0.4987013339996338, ""6"": 0.5573284029960632, ""7"": 0.47625234723091125, ""8"": 0.43840447068214417}"
full_suite_distance_rnn_120,ok,distance,rnn,rnn,commit,False,False,False,False,False,0.5219388008117676,0.48603901267051697,0.5362986922264099,1.0,1.0,1.0,0.0,0.053168635875402784,0,77,0,7.160093784332275,0.4987286925315857,0.23236101865768433,15.313630104064941,28,"{""1"": 0.5307977795600891, ""2"": 0.4926407039165497, ""3"": 0.5002597570419312, ""4"": 0.48831167817115784, ""5"": 0.5502164959907532, ""6"": 0.5922077894210815, ""7"": 0.6532467603683472}","{""1"": 0.6009276509284973, ""2"": 0.5797773599624634, ""3"": 0.5081632733345032, ""4"": 0.45009276270866394, ""5"": 0.5215213298797607, ""6"": 0.497217059135437, ""7"": 0.4564007520675659, ""8"": 0.5614100098609924}"
full_suite_distance_no_rnn_120,ok,distance,rnn,rnn,commit,True,False,False,False,False,0.43010202050209045,0.3673701286315918,0.4551948010921478,1.0,1.0,1.0,0.0,0.5098134947759008,0,77,0,4.881775856018066,0.0,0.3369346261024475,17.826902389526367,23,"{""1"": 0.4636363387107849, ""2"": 0.47510820627212524, ""3"": 0.43662339448928833, ""4"": 0.40974023938179016, ""5"": 0.2904761731624603, ""6"": 0.48181819915771484, ""7"": 0.2896104156970978}","{""1"": 0.6558441519737244, ""2"": 0.34211501479148865, ""3"": 0.37810763716697693, ""4"": 0.4157699644565582, ""5"": 0.36938777565956116, ""6"": 0.3185528516769409, ""7"": 0.7406308054924011, ""8"": 0.22040815651416779}"
