episode,loss,choice_loss,recon_loss,entropy_loss,test_acc,learned_acc,nonlearned_acc,mean_gate,mean_abs_score
0,0.6807771325111389,0.6509037613868713,0.053011246025562286,0.6729574799537659,0.7589285969734192,0.84375,0.7250000238418579,0.398104190826416,0.13744275271892548
1,0.6515509486198425,0.6024254560470581,0.09151643514633179,0.6728682518005371,0.7321428656578064,0.6875,0.75,0.38197755813598633,0.12827491760253906
2,0.6796778440475464,0.6196960210800171,0.11317828297615051,0.6781125664710999,0.7232142686843872,0.75,0.7124999761581421,0.3852759599685669,0.11293084174394608
3,0.6844379305839539,0.6406229734420776,0.08090309798717499,0.6720938086509705,0.6964285969734192,0.84375,0.637499988079071,0.38590553402900696,0.14810119569301605
4,0.6287220120429993,0.5751466155052185,0.1004660576581955,0.6677337288856506,0.7767857313156128,0.90625,0.7250000238418579,0.40249425172805786,0.15335741639137268
5,0.6636484265327454,0.6156058311462402,0.089340440928936,0.6739206910133362,0.7589285969734192,0.875,0.7124999761581421,0.37910449504852295,0.13184566795825958
6,0.6716578006744385,0.6298904418945312,0.07670541107654572,0.682643711566925,0.7232142686843872,0.78125,0.699999988079071,0.3957715630531311,0.0983922928571701
7,0.6792059540748596,0.634825587272644,0.08196254074573517,0.6794384717941284,0.6785714030265808,0.71875,0.6625000238418579,0.3873547315597534,0.11959437280893326
8,0.6901209354400635,0.6412836313247681,0.09089198708534241,0.6778307557106018,0.6875,0.78125,0.6499999761581421,0.38460707664489746,0.11502854526042938
9,0.6553251147270203,0.6252152323722839,0.05342358350753784,0.679236114025116,0.7589285969734192,0.8125,0.737500011920929,0.39804011583328247,0.10304084420204163
10,0.6750314831733704,0.6368669867515564,0.06947475671768188,0.6852030158042908,0.7053571343421936,0.75,0.6875,0.3861646056175232,0.08542709797620773
11,0.6612261533737183,0.6059985756874084,0.10376608371734619,0.6682066321372986,0.7410714030265808,0.8125,0.7124999761581421,0.4103386700153351,0.15521955490112305
12,0.6211956143379211,0.6000081300735474,0.035581137984991074,0.6789879202842712,0.8125,0.90625,0.7749999761581421,0.39386940002441406,0.11459516733884811
13,0.6725611686706543,0.6237050294876099,0.09089473634958267,0.6814354658126831,0.7410714030265808,0.8125,0.7124999761581421,0.4007871747016907,0.10862668603658676
14,0.6668187379837036,0.6071497201919556,0.11272164434194565,0.6606764793395996,0.6517857313156128,0.75,0.612500011920929,0.3917444348335266,0.16681316494941711
15,0.6937477588653564,0.6540118455886841,0.07264179736375809,0.6827158331871033,0.6607142686843872,0.625,0.675000011920929,0.3979501724243164,0.09874866157770157
16,0.6175302863121033,0.5819315910339355,0.0644901841878891,0.670063316822052,0.7767857313156128,0.8125,0.762499988079071,0.3857220709323883,0.14425677061080933
17,0.6873530745506287,0.6179389357566833,0.13208641111850739,0.67363041639328,0.7142857313156128,0.75,0.699999988079071,0.3984954357147217,0.13413918018341064
18,0.636639416217804,0.6033774614334106,0.05970464646816254,0.6815983653068542,0.7678571343421936,0.78125,0.762499988079071,0.3929890990257263,0.10374073684215546
