score,seed,sigma_distance,order_bonus,resource_log_sd,choice_beta,lapse,overall_accuracy,learned_pairs_accuracy,nonlearned_pairs_accuracy,consistent80_ratio,consistent100_ratio,choice_self_consistency,choice_circular_triads,inter_subject_tau,correct_ranking_subjects,self_consistent_incorrect_subjects,beta_bimodal_pairs,beta_high_accuracy_pairs
0.21123694683818445,42,2.0,2.0,0.6,2.2,0.03,0.8540352582931519,0.9108765721321106,0.8312986493110657,0.948051948051948,0.7012987012987013,1.0,0.0,0.6274289620154282,3,74,9,19
0.2217342198827445,42,2.0,1.5,0.6,2.2,0.03,0.8540352582931519,0.9162337779998779,0.8291558623313904,0.948051948051948,0.6883116883116883,1.0,0.0,0.6250366175178206,2,75,10,18
0.22596098226095224,42,2.0,1.5,0.0,2.2,0.05,0.8512986302375793,0.9147727489471436,0.8259090781211853,0.935064935064935,0.7142857142857143,1.0,0.0,0.6441753734986818,2,75,10,18
0.22917756700664732,42,2.0,2.0,0.6,2.2,0.05,0.8468460440635681,0.9024351239204407,0.8246104121208191,0.948051948051948,0.6753246753246753,1.0,0.0,0.6274289620154282,3,74,9,19
0.24344511804048957,42,2.0,1.0,0.6,2.2,0.05,0.840398907661438,0.8949676156044006,0.8185713887214661,0.974025974025974,0.7272727272727273,1.0,0.0,0.6081437359632849,2,75,9,19
0.244099601848134,42,2.0,1.5,0.6,2.2,0.05,0.8466604948043823,0.9061688780784607,0.8228570818901062,0.948051948051948,0.6623376623376623,1.0,0.0,0.6250366175178206,2,75,10,18
0.2569139821344771,42,2.0,2.0,0.0,2.2,0.05,0.854499101638794,0.9217533469200134,0.8275973796844482,0.935064935064935,0.7272727272727273,1.0,0.0,0.6607264915535592,2,75,8,20
0.2664018041563038,42,2.0,1.5,0.0,2.2,0.03,0.8590445518493652,0.9253246784210205,0.832532525062561,0.948051948051948,0.7272727272727273,1.0,0.0,0.6441753734986818,2,75,10,18
0.2706776476455799,42,1.7,1.5,0.6,2.2,0.03,0.8743969798088074,0.916883111000061,0.8574026226997375,0.8831168831168831,0.7012987012987013,1.0,0.0,0.6875793379552777,6,71,8,20
0.2715176471259116,42,1.7,1.0,0.0,2.2,0.05,0.8597866296768188,0.9212662577629089,0.8351947665214539,0.948051948051948,0.7142857142857143,1.0,0.0,0.6729323308270677,3,74,9,19
0.2741791591450126,42,2.3,1.5,0.6,2.2,0.05,0.8363173007965088,0.9110389947891235,0.8064286112785339,0.987012987012987,0.7662337662337663,1.0,0.0,0.5947173127624256,1,76,10,18
0.2873274144974087,42,2.0,1.0,0.6,2.2,0.03,0.8465213775634766,0.901948094367981,0.8243506550788879,0.974025974025974,0.7662337662337663,1.0,0.0,0.6081437359632849,2,75,9,19
0.2878681430236028,42,2.3,1.0,0.6,2.2,0.05,0.8314007520675659,0.9011363387107849,0.8035064935684204,0.974025974025974,0.7792207792207793,1.0,0.0,0.5906649741236207,1,76,11,17
0.29042046634401947,42,1.7,1.5,0.0,2.2,0.05,0.8674396872520447,0.9280843138694763,0.8431817889213562,0.935064935064935,0.7142857142857143,1.0,0.0,0.692364026950493,4,73,9,19
0.29273604737398107,42,1.7,1.0,0.6,2.2,0.03,0.8745361566543579,0.9123376607894897,0.859415590763092,0.8961038961038961,0.6753246753246753,1.0,0.0,0.6825505321745923,5,72,7,21
0.30319136034894095,42,2.3,1.5,0.6,2.2,0.03,0.8428571224212646,0.9189934730529785,0.812402606010437,0.987012987012987,0.8051948051948052,1.0,0.0,0.5947173127624256,1,76,10,18
0.30639958494075775,42,2.3,2.0,0.0,2.2,0.05,0.8371985554695129,0.8974027037620544,0.8131168484687805,0.987012987012987,0.7792207792207793,1.0,0.0,0.6016502294697784,1,76,11,17
0.3066807258879926,42,2.3,1.0,0.6,2.2,0.03,0.8378478288650513,0.908928632736206,0.8094155788421631,0.974025974025974,0.8181818181818182,1.0,0.0,0.5906649741236207,1,76,11,17
0.30726916406876564,42,1.7,1.0,0.0,2.2,0.03,0.8671614527702332,0.9297078251838684,0.8421428799629211,0.948051948051948,0.7272727272727273,1.0,0.0,0.6729323308270677,3,74,9,19
0.3081545817406193,42,2.0,1.0,0.0,2.2,0.05,0.8479591608047485,0.9051947593688965,0.825065016746521,0.961038961038961,0.7792207792207793,1.0,0.0,0.630065423298506,2,75,8,20
0.31155508668193854,42,1.7,2.0,0.6,2.2,0.03,0.8754638433456421,0.9191558361053467,0.8579870462417603,0.8701298701298701,0.6623376623376623,1.0,0.0,0.6897275656674153,7,70,8,20
0.31577315703277403,42,2.3,2.0,0.6,2.2,0.05,0.8371521830558777,0.9099025726318359,0.8080518841743469,0.987012987012987,0.8051948051948052,1.0,0.0,0.5986720046870423,1,76,8,20
0.31755000716086407,42,2.3,2.0,0.0,2.2,0.03,0.8436920046806335,0.9058441519737244,0.8188311457633972,0.987012987012987,0.7922077922077922,1.0,0.0,0.6016502294697784,1,76,11,17
0.32400040838357763,42,1.7,2.0,0.0,2.2,0.05,0.869248628616333,0.9261363744735718,0.8464935421943665,0.935064935064935,0.6623376623376623,1.0,0.0,0.6993945903720339,4,73,9,19
0.3256154547186057,42,1.7,1.5,0.0,2.2,0.03,0.8745825886726379,0.9365260004997253,0.8498051762580872,0.935064935064935,0.7272727272727273,1.0,0.0,0.692364026950493,4,73,9,19
0.3357423841675072,42,2.3,1.0,0.0,2.2,0.05,0.8335806727409363,0.885551929473877,0.812792181968689,1.0,0.7792207792207793,1.0,0.0,0.5928620251928522,0,77,9,19
0.33630376001643364,42,2.0,1.0,0.0,2.2,0.03,0.8544526696205139,0.9147727489471436,0.830324649810791,0.974025974025974,0.7922077922077922,1.0,0.0,0.630065423298506,2,75,8,20
0.34045419610090266,42,1.7,1.0,0.6,2.2,0.05,0.8682281970977783,0.9045453667640686,0.8537013530731201,0.8831168831168831,0.6363636363636364,1.0,0.0,0.6825505321745923,5,72,7,21
