subject,order_low_to_high,kendall_tau_with_true,pair_accuracy_mean,learned_accuracy,nonlearned_accuracy,self_consistency,circular_triads,consistent_error_pairs_80pct,consistent_error_pairs_100pct,posterior_entropy,resource_multiplier,model_resource
12,ABDCEFGH,0.9285714285714286,0.9178571105003357,0.9624999761581421,0.8999999165534973,1.0,0,1,0,3.968864679336548,2.4577198028564453,1.0014647245407104
13,BAECDHFG,0.6428571428571429,0.8178572058677673,0.9750000238418579,0.7549999952316284,1.0,0,4,1,5.768453598022461,1.1493887901306152,0.899351954460144
14,ABCDFGEH,0.8571428571428571,0.9035714864730835,0.9375,0.8899999856948853,1.0,0,2,1,3.434279203414917,3.390547752380371,0.9046183824539185
15,BACDEGHF,0.7857142857142857,0.8678571581840515,1.0,0.8149999380111694,1.0,0,3,1,7.189485549926758,0.577858030796051,0.8879755735397339
16,CBADEGFH,0.7142857142857143,0.8535714149475098,0.862500011920929,0.8500000238418579,1.0,0,3,1,7.091246128082275,0.5054715275764465,1.04218590259552
17,ABCEDHFG,0.7857142857142857,0.8821429014205933,0.9624999761581421,0.8500000238418579,1.0,0,3,1,6.347902774810791,0.8846431374549866,0.9303297996520996
18,BACDEGFH,0.8571428571428571,0.8964285850524902,0.949999988079071,0.875,1.0,0,2,0,5.57990837097168,1.2747923135757446,0.8854490518569946
19,ABCDGEHF,0.7857142857142857,0.8714286088943481,0.9249999523162842,0.8500000238418579,1.0,0,3,1,4.400900840759277,1.896095633506775,0.9704114198684692
20,ADCBFGHE,0.5714285714285714,0.7857142686843872,0.762499988079071,0.7949999570846558,1.0,0,6,3,9.461472511291504,0.18553471565246582,0.946399450302124
21,ABCDEFGH,1.0,0.9357142448425293,0.949999988079071,0.9299999475479126,1.0,0,0,0,5.545894622802734,1.03913152217865,1.039113998413086
22,ADFBCEGH,0.6428571428571429,0.800000011920929,0.949999988079071,0.7400000095367432,1.0,0,5,3,6.511195182800293,0.8196004033088684,0.9265837669372559
23,ADBCFEGH,0.7857142857142857,0.8714285492897034,0.9624999761581421,0.8350000381469727,1.0,0,3,1,3.940769672393799,2.302558183670044,0.9828925728797913
24,BAECDFGH,0.7857142857142857,0.8678571581840515,0.9750000238418579,0.824999988079071,1.0,0,2,2,6.066797256469727,0.9037742018699646,0.9757583141326904
25,ABCEDHFG,0.7857142857142857,0.8642856478691101,0.9750000238418579,0.8199999928474426,1.0,0,3,1,3.4821372032165527,2.8113982677459717,1.0231062173843384
26,ABGECDFH,0.5714285714285714,0.75,0.7000000476837158,0.7699999809265137,1.0,0,6,4,8.562536239624023,0.2711612582206726,0.9631154537200928
27,ABCDEGFH,0.9285714285714286,0.9142857193946838,0.949999988079071,0.8999999761581421,1.0,0,1,0,3.2081382274627686,3.7593064308166504,0.8921192288398743
28,ADCBEGHF,0.6428571428571429,0.8107143044471741,0.875,0.7850000262260437,1.0,0,5,2,5.009013652801514,1.5186121463775635,0.893555760383606
29,ABEDCFGH,0.7857142857142857,0.875,0.9624999761581421,0.8399999737739563,1.0,0,3,0,7.363179683685303,0.5424520969390869,1.0101611614227295
30,DCAGBEHF,0.35714285714285715,0.6642857193946838,0.8250000476837158,0.6000000238418579,1.0,0,9,7,8.623239517211914,0.27470195293426514,0.9880162477493286
31,BAECDFHG,0.7142857142857143,0.824999988079071,0.9750000238418579,0.76500004529953,1.0,0,4,2,8.257367134094238,0.32631680369377136,0.9659792184829712
32,HACBFGDE,0.14285714285714285,0.5678571462631226,0.38749998807907104,0.6399999856948853,1.0,0,12,11,10.30081844329834,0.07974564284086227,0.887830376625061
33,BDHACFGE,0.2857142857142857,0.625,0.7749999761581421,0.5649999976158142,1.0,0,9,7,8.495582580566406,0.2680252492427826,0.9642812013626099
34,CABDGFEH,0.6428571428571429,0.8178571462631226,0.8624999523162842,0.800000011920929,1.0,0,5,2,7.378018856048584,0.5338523983955383,0.9054965972900391
35,ABCDEFGH,1.0,0.9392856955528259,0.9624999761581421,0.9300000071525574,1.0,0,0,0,0.45899176597595215,10.852334022521973,0.961190938949585
36,ABCEDGFH,0.8571428571428571,0.9071429371833801,0.9750000238418579,0.8799999952316284,1.0,0,2,1,6.213949680328369,0.8910656571388245,0.9251575469970703
37,CAFDBGEH,0.5,0.7392856478691101,0.7250000238418579,0.7450000047683716,1.0,0,7,4,6.508902072906494,0.7577974200248718,0.9697529077529907
38,BADCEFGH,0.8571428571428571,0.9107142686843872,0.9750000238418579,0.8849999308586121,1.0,0,2,0,4.347711563110352,2.1862075328826904,0.9146877527236938
39,BACDEFHG,0.8571428571428571,0.9142856597900391,0.987500011920929,0.8849999308586121,1.0,0,1,0,5.585723876953125,1.1198476552963257,0.9041317105293274
40,ABCDEFGH,1.0,0.9392857551574707,0.925000011920929,0.9449999928474426,1.0,0,0,0,3.101473093032837,3.788156747817993,0.9063096046447754
41,BACEDFGH,0.8571428571428571,0.8785713911056519,0.9500000476837158,0.8499999046325684,1.0,0,2,1,6.314826011657715,0.8847109079360962,0.915523886680603
42,ABCDGFEH,0.7857142857142857,0.860714316368103,0.8999999761581421,0.8450000882148743,1.0,0,3,0,4.198661804199219,2.039398193359375,0.9688898324966431
43,DBACEFHG,0.6428571428571429,0.7892856597900391,0.9750000238418579,0.7150000333786011,1.0,0,5,5,9.123539924621582,0.23505674302577972,0.868909478187561
44,ADCBFEGH,0.7142857142857143,0.8321428298950195,0.875,0.8149999380111694,1.0,0,4,1,8.549777030944824,0.33135321736335754,0.946977972984314
45,ABCEDHGF,0.7142857142857143,0.8571429252624512,1.0,0.8000000715255737,1.0,0,4,1,4.745346546173096,1.6484665870666504,0.9930047988891602
46,DABCGEFH,0.6428571428571429,0.8000000715255737,0.949999988079071,0.7400000691413879,1.0,0,5,1,6.460956573486328,0.826178252696991,0.9110682606697083
47,ABCDEFGH,1.0,0.9607142806053162,1.0,0.9449999928474426,1.0,0,0,0,1.03754723072052,8.27802848815918,0.9219857454299927
48,AEBCHFDG,0.5,0.7321429252624512,0.7749999761581421,0.7149999737739563,1.0,0,7,5,6.5305562019348145,0.8060172200202942,0.9187145233154297
49,ABEDCGHF,0.6428571428571429,0.8178571462631226,0.9750000238418579,0.7549999952316284,1.0,0,5,2,7.158276557922363,0.5775683522224426,0.9658038020133972
