model,overall_accuracy,learned_pairs_accuracy,nonlearned_pairs_accuracy,consistent80_ratio,consistent100_ratio,choice_self_consistency,choice_circular_triads,inter_subject_tau,beta_bimodal_pairs,beta_high_accuracy_pairs
T1_moderate_reconsolidation,0.6861317263836653,0.7139610388110598,0.6750000014127074,0.22077922077922077,0.0,0.9129870129870129,1.7402597402597402,0.6246460306610683,,
T3_schema_encoding,0.6353896119094459,0.7090909093763534,0.6059090929226829,0.5714285714285714,0.11688311688311688,0.8824675324675327,2.3506493506493507,0.5529733424470267,,
R5_low_temp_reliability,0.5969387784337622,0.5813311720266938,0.6031818209965895,0.6493506493506493,0.24675324675324675,0.8480519480519481,3.038961038961039,0.38365394004491743,,
D_best_train,0.6128478679073377,0.637175326925013,0.6031168843002676,0.6753246753246753,0.33766233766233766,0.8551948051948053,2.896103896103896,0.23171565276828435,,
NEW_active_rank_hypothesis_attractor_sampler,0.8540352582931519,0.9162337779998779,0.8291558623313904,0.948051948051948,0.6883116883116883,1.0,0.0,0.6250366175178206,16,12
NEW_meta_trained_plastic_RNN_rank_attractor_120ep,0.8312152028083801,0.9042207598686218,0.8020129799842834,0.8831168831168831,0.7142857142857143,1.0,0.0,0.5476027731666829,22,6
