experiment,phase,overall,learned,nonlearned,consistent80,choice_sc,circular,tau
exp_M4s_edge_hybrid,previous_memory,0.6830705020659653,0.7392857144889119,0.6605844170967867,0.18181818181818182,0.9181818181818184,1.6363636363636365,0.8003612928424959
exp_M4s_edge_hybrid beta30,previous_memory,0.6742578857234491,0.7373376624634513,0.6490259750274482,0.45454545454545453,0.9188311688311688,1.6233766233766234,0.8127136021872864
exp_M2s_strong_forgetting,previous_memory,0.5577922123026428,0.5358766276607072,0.566558446159417,0.4155844155844156,0.6798701298701298,6.402597402597403,0.3485987696514013
exp_M2s_strong_forgetting beta30,previous_memory,0.5544990759398201,0.5727272761090623,0.5472077958721232,0.6103896103896104,0.8,4.0,0.5735279757836149
exp_R1_attn_moderate_hybrid,subject_reliability,0.6222170714482471,0.6529220806845983,0.6099350677537067,0.2857142857142857,0.8,4.0,0.4313543599257886
exp_R2_attn_strong_hybrid,subject_reliability,0.5650742148569265,0.6043831201560506,0.5493506527372769,0.6233766233766234,0.7935064935064934,4.12987012987013,0.1620935455521922
exp_R3_attn_anchor_distance,subject_reliability,0.6667903533312518,0.7287337654451658,0.6420129884856862,0.23376623376623376,0.9097402597402598,1.8051948051948052,0.6105849038179866
exp_R4_attn_online_short,subject_reliability,0.6986085350982886,0.7316558440276361,0.6853896115265496,0.15584415584415584,0.922077922077922,1.5584415584415585,0.7188751098525535
exp_R5_attn_lowtemp_commit_short,subject_reliability,0.5969387784337622,0.5813311720266938,0.6031818209965895,0.6493506493506493,0.8480519480519481,3.038961038961039,0.38365394004491743
