experiment,overall_accuracy,learned_pairs_accuracy,nonlearned_pairs_accuracy,consistent80_ratio,consistent100_ratio,choice_self_consistency,choice_circular_triads,inter_subject_tau,recon_loss_after_learning,mean_gate,runtime_sec,exit_code
exp_T0_r5_baseline,0.6463358090751578,0.6865259747855462,0.6302597427910025,0.3116883116883117,0.03896103896103896,0.851948051948052,2.961038961038961,0.4929694365784591,0.07771511375904083,0.5169093608856201,6,0
exp_T1_recon_moderate,0.6861317263836653,0.7139610388110598,0.6750000014127074,0.22077922077922077,0.0,0.9129870129870129,1.7402597402597402,0.6246460306610683,0.1052810549736023,0.6108846068382263,5,0
exp_T2_recon_strong,0.5923005592299138,0.6360389628967682,0.5748051977631721,0.6363636363636364,0.22077922077922077,0.8383116883116882,3.2337662337662336,0.4181232301533054,0.11554522067308426,0.5587993860244751,5,0
exp_T3_schema_encoding,0.6353896119094459,0.7090909093763534,0.6059090929226829,0.5714285714285714,0.11688311688311688,0.8824675324675327,2.3506493506493507,0.5529733424470267,0.14794141054153442,0.6832563877105713,5,0
exp_T4_replay,0.6448979605307219,0.6771103897095694,0.6320129888591828,0.4155844155844156,0.14285714285714285,0.8883116883116884,2.2337662337662336,0.46958304853041694,0.07896561920642853,0.4908645451068878,5,0
exp_T5_recon_replay,0.6651669767320654,0.6904220777358134,0.6550649363305662,0.35064935064935066,0.03896103896103896,0.8837662337662335,2.324675324675325,0.5249487354750513,0.10400566458702087,0.5431824922561646,,
exp_T6_encoding_recon,0.6474489812568134,0.6758116888269395,0.636103898228763,0.2857142857142857,0.05194805194805195,0.8844155844155845,2.311688311688312,0.4762230250952056,0.07513190060853958,0.6026549935340881,5,0
exp_T7_replay_accuracy,0.6589517641867855,0.6879870140586387,0.6473376642380442,0.23376623376623376,0.03896103896103896,0.8707792207792208,2.5844155844155843,0.5963284835465287,0.07443597912788391,0.43495678901672363,5,0
